0.000000,0.000000,0.000000
5.000000,2.720000,4.900000
10.000000,5.300000,10.100000
15.000000,7.780000,14.900000
20.000000,10.080000,19.900000
25.000000,12.160000,24.900000
30.000000,13.600000,30.000000
35.000000,13.220000,34.900000
40.000000,13.740000,39.900000
45.000000,13.800000,44.900000
50.000000,14.020000,49.900000
55.000000,14.060000,55.000000
60.000000,13.760000,60.000000
65.000000,13.900000,65.100000
70.000000,13.320000,69.900000
75.000000,13.100000,74.900000
80.000000,13.080000,79.900000
85.000000,13.440000,84.900000
90.000000,10.540000,90.000000
95.000000,11.820000,94.900000
100.000000,11.540000,99.900000
105.000000,11.320000,105.000000
110.000000,11.120000,110.000000
115.000000,10.980000,115.000000
120.000000,10.520000,120.000000
