5,20,2.4,2.5
10,20,5.7,5.1
15,20,8.2,7.9
20,20,10.1,10.2
25,20,11.5,12.2
30,20,12.9,13.6
35,20,9.2,13.8
40,20,12,14.4
45,20,12.2,14.2
50,20,12.3,14.4
55,20,12.2,14.1
60,20,12.3,14.1
65,20,12.4,14.1
70,20,12.7,13.8
75,20,12.8,13.5
80,20,13.1,13
85,20,13.7,12
90,20,8.9,11.7
95,20,10,11.6
100,20,10.36,11.2
105,20,10.4,11
110,20,10.3,10.9
115,20,10.3,10.8
120,20,9.8,10.6
